Sector,N Stocks,N Trades,Gross CAGR,Net CAGR,Sector TR CAGR,Net Sharpe,Net MaxDD,TC Drag $
Industrials,29,426,+45.5%,+24.9%,+7.8%,1.00,-18.0%,"$452,848"
Health Care,18,284,+50.1%,+29.3%,-16.0%,0.82,-39.6%,"$496,554"
Communication Services,14,184,+28.1%,+8.1%,+1.1%,0.29,-31.1%,"$399,278"
Financials,34,620,+17.8%,+1.5%,+5.4%,0.08,-24.2%,"$309,011"
Information Technology,14,212,-2.2%,-19.1%,-20.8%,-0.46,-58.7%,"$272,922"
Consumer Discretionary,25,416,+2.6%,-10.4%,+0.7%,-0.47,-33.9%,"$222,114"
Energy,14,217,-22.0%,-35.9%,+20.2%,-0.70,-70.7%,"$193,369"
Consumer Staples,10,154,-10.8%,-23.4%,+10.5%,-0.95,-52.0%,"$193,240"
Materials,60,914,-13.4%,-26.0%,+32.2%,-1.22,-52.0%,"$189,002"
Real Estate,24,325,-9.9%,-23.0%,-4.2%,-1.35,-42.0%,"$203,488"
