ticker,side,entry,exit,days,trade_ret
A,long,2025-02-20,2025-03-04,9,-0.10273417415817976
A,long,2025-03-06,2025-03-11,4,-0.04331676317367694
A,long,2025-03-21,2025-04-04,11,-0.1418454409342591
A,long,2025-04-08,2025-04-15,6,-0.004537033326088014
A,long,2025-10-16,2025-10-20,3,0.02398865033892217
A,long,2025-10-22,2026-01-14,58,0.003437665323831496
A,long,2026-01-27,2026-02-03,6,-0.025875442770194046
A,long,2026-06-16,2026-06-18,3,-0.02703114102960502
A,long,2026-08-07,2026-08-24,12,0.08553841799915052
AAPL,long,2024-12-12,2024-12-13,2,0.006653437623741265
AAPL,long,2025-02-05,2025-03-18,29,-0.08537862113345618
AAPL,long,2025-04-21,2025-04-25,5,0.06244290025193111
AAPL,long,2025-05-07,2025-05-12,4,0.06325333966965241
AAPL,long,2025-08-07,2025-08-07,1,0.031793625894866784
AAPL,long,2025-09-12,2025-09-25,10,0.11668035294004686
AAPL,long,2025-10-17,2025-11-03,12,0.08729034983796491
AAPL,long,2025-11-14,2025-11-28,10,0.021615627223015466
AAPL,long,2025-12-04,2025-12-17,10,-0.04332217535364158
AAPL,long,2026-01-09,2026-02-03,17,0.04030261733499696
AAPL,long,2026-04-23,2026-04-23,1,0.000951726504196948
AAPL,long,2026-06-16,2026-08-19,45,0.06977681125811852
ABBV,long,2025-02-13,2025-02-25,8,0.057720151414127896
ABBV,long,2025-04-21,2025-05-01,9,0.1176367650290886
ABBV,long,2025-05-09,2025-05-22,10,-0.016381133854264762
ABBV,long,2025-07-09,2025-07-14,4,0.009221749589730877
ABBV,long,2025-09-19,2025-10-02,10,0.06563355073413502
ABBV,long,2025-10-06,2025-10-06,1,-0.015903520481921563
ABBV,long,2025-10-10,2025-12-16,47,-0.023440765033374777
ABBV,long,2026-02-03,2026-02-04,2,-0.03780355734227947
ABBV,long,2026-03-09,2026-03-19,9,-0.10377648665463335
ABBV,long,2026-05-11,2026-05-13,3,0.03448275689763314
ABBV,long,2026-07-22,2026-08-24,24,0.03287778211636061
ABNB,long,2024-11-21,2025-01-07,31,-0.0292791127541584
ABNB,long,2025-01-15,2025-01-21,4,0.042868338557993546
ABNB,long,2025-01-24,2025-01-28,3,-0.01643650555388776
ABNB,long,2025-03-18,2025-03-21,4,0.014652591775641932
ABNB,long,2025-04-14,2025-05-14,22,0.20001746114894248
ABNB,long,2025-07-15,2025-07-18,4,0.005556758317096122
ABNB,long,2026-02-20,2026-03-10,13,0.05269851363166689
ABNB,long,2026-05-07,2026-05-26,13,-0.05147269087789541
ABNB,long,2026-06-10,2026-06-23,9,0.057099352874000475
ABNB,long,2026-06-29,2026-07-07,6,0.022258862324814332
ABT,long,2024-12-24,2025-01-03,7,-0.004199026234856795
ABT,long,2025-03-10,2025-03-19,8,-0.0708764374847074
ABT,long,2025-04-17,2025-04-21,2,0.001464897490455197
ABT,long,2025-05-14,2025-05-20,5,0.04765578649193425
ABT,long,2025-06-17,2025-08-13,40,-0.03006614330663815
ABT,long,2025-10-03,2025-10-31,21,-0.06632284378115016
ABT,long,2025-11-07,2025-11-14,6,0.04513808728180524
ABT,long,2026-01-28,2026-02-12,12,0.029555797896370972
ABT,long,2026-04-22,2026-04-29,6,-0.014991411351614636
ABT,long,2026-05-06,2026-05-08,3,-0.032694658639646934
ACGL,long,2025-02-04,2025-02-18,10,-0.051235230934479015
ACGL,long,2025-05-12,2025-07-09,40,-0.07002327057330204
ACGL,long,2025-07-30,2025-08-01,3,0.021830004644681766
ACGL,long,2026-01-29,2026-02-05,6,0.08293511734097936
ACGL,long,2026-02-11,2026-02-12,2,0.020439448134900617
ACGL,long,2026-03-06,2026-03-12,5,-0.029360255485731623
ACGL,long,2026-06-02,2026-07-02,22,0.15167906242957074
ACN,long,2024-12-13,2024-12-31,12,-0.023293896479750664
ACN,long,2025-03-05,2025-03-20,12,-0.1297646244036751
ACN,long,2025-07-14,2025-07-29,12,-0.007685145526031167
ACN,long,2025-12-18,2026-01-05,11,-0.035654042459039026
ACN,long,2026-01-14,2026-01-16,3,0.03399574803805194
ACN,long,2026-02-11,2026-02-19,6,-0.10757288240995322
ACN,long,2026-02-23,2026-02-25,3,-0.11074999289106258
ACN,long,2026-02-27,2026-03-04,4,0.012633757121065292
ACN,long,2026-05-22,2026-05-26,2,-0.004891137831769088
ACN,long,2026-06-11,2026-06-16,4,-0.029208205907811702
ACN,long,2026-06-18,2026-06-18,1,-0.17966793332407427
ADBE,long,2025-04-10,2025-05-08,20,0.05306603773584939
ADBE,long,2025-07-14,2025-08-14,24,-0.04064951149029883
