Sector,N Stocks,N Trades,Gross CAGR,Net CAGR,SPDR ETF CAGR,Net Sharpe,Net MaxDD,TC Drag $
Health Care,64,1260,+18.5%,+8.8%,+13.8%,0.60,-11.0%,"$187,968"
Financials,78,1629,+10.3%,+0.8%,+10.7%,0.07,-12.3%,"$171,516"
Industrials,87,1690,+9.7%,+0.5%,+16.5%,0.04,-11.8%,"$165,270"
Communication Services,27,495,+10.0%,+0.2%,+10.1%,0.01,-24.2%,"$180,276"
Information Technology,78,1455,+1.9%,-6.8%,+29.1%,-0.34,-23.9%,"$149,447"
Consumer Staples,39,753,+2.0%,-5.9%,+7.3%,-0.46,-21.0%,"$136,683"
Consumer Discretionary,55,1039,-1.1%,-9.1%,+6.6%,-0.60,-22.1%,"$131,706"
Utilities,31,698,-8.9%,-17.4%,+6.2%,-0.88,-31.8%,"$130,997"
Materials,29,557,-14.0%,-22.3%,+10.2%,-1.06,-37.5%,"$122,929"
Real Estate,31,687,-5.9%,-14.2%,+5.6%,-1.13,-25.5%,"$133,390"
Energy,24,426,-15.3%,-22.0%,+20.1%,-1.23,-37.0%,"$101,990"
