Sector,N Stocks,N Trades,Gross CAGR,Net CAGR,SPDR ETF CAGR,Net Sharpe,Net MaxDD,TC Drag $
Health Care,64,639,+26.0%,+21.1%,+13.8%,1.11,-13.4%,"$101,085"
Information Technology,78,760,+30.7%,+24.9%,+29.1%,0.88,-28.2%,"$124,319"
Industrials,87,807,+20.6%,+15.4%,+16.5%,0.73,-18.6%,"$101,590"
Financials,78,862,+16.8%,+11.6%,+10.7%,0.61,-20.3%,"$102,541"
Consumer Staples,39,386,+9.7%,+5.4%,+7.3%,0.34,-12.2%,"$80,968"
Communication Services,27,229,+12.0%,+6.9%,+10.1%,0.32,-19.8%,"$96,062"
Consumer Discretionary,55,516,+8.5%,+3.9%,+6.6%,0.17,-29.0%,"$83,743"
Utilities,31,331,+2.6%,-2.1%,+5.5%,-0.10,-19.7%,"$78,567"
Energy,24,203,+0.9%,-3.1%,+20.1%,-0.12,-24.4%,"$71,335"
Materials,29,280,-0.4%,-5.3%,+9.8%,-0.21,-30.2%,"$84,581"
Real Estate,31,339,-1.6%,-5.8%,+5.6%,-0.32,-22.2%,"$72,676"
