category,title,authors,year,venue,market,open_access,id_or_url,relevance_to_project
Crowding & regime breaks,What Happened to the Quants in August 2007? (Evidence from Factors and Transactions Data),Khandani & Lo,2011,"J. Financial Markets / NBER w14465",US,Yes (MIT open PDF),https://web.mit.edu/Alo/www/Papers/august07b_2.pdf,"CORE — the forensic anatomy of a crowded-quant deleveraging cascade; the exact event class your monitor is built to detect early"
Crowding & regime breaks,What Happened to the Quants in August 2007? (original),Khandani & Lo,2007,SSRN 1015987,US,Yes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1015987,"Foundational statement of the crowding-unwind mechanism"
Crowding & regime breaks,Quantitative Hedge Funds in China: Risk Compression and Stress-State Fragility,"Huang, Ma, Wang, Zhou",2026,SSRN 6840120,China,Yes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6840120,"CORE — weekly panel 2015-2024, 1.8T RMB industry; documents variance compression + tail fragility = the calm-then-break dynamic your FPR/latency metrics target"
Factor models (China),The Case for Factor Investing in China A,Fang & Olteanu-Veerman,2020,SSRN 3572446,China,Yes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572446,"Which factors work in A-shares (momentum fails; reversal+sentiment works) — defines the strategy universe you'd monitor"
Factor models (China),A Comparison of Factor Models in China,Wang & Zhu,2023,SSRN 4604327,China,Yes,https://papers.ssrn.com/sol3/Delivery.cfm/4604327.pdf,"105 anomalies, 11 models benchmarked — baseline factor zoo for A-shares"
Factor models (China),A revised comparison between FF five-factor and three-factor model (China A-share),-,2021,arXiv 2112.03170,China,Yes,https://arxiv.org/abs/2112.03170,"FF factor structure on 2005-2020 A-share data"
Factor models (China),The Profitability and Investment Factors in the Chinese Stock Market,Hou & Zhang,2017,SSRN,China,Yes,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3439233_code327574.pdf,"q-factor / FF adaptations for China"
Factor models (China),Factor Investing in the China A-Share Market: a Contextual Alpha Model,-,-,CAIA,China,Yes,https://caia.org/sites/default/files/factor_investing_in_the_china_a-share_market.pdf,"Practitioner alpha-model framing"
ML asset pricing (China),Machine learning in the Chinese stock market,"Leippold, Wang, Zhou",2022,J. Financial Economics,China,No (paywall),https://www.sciencedirect.com/science/article/pii/S0304405X21003743,"KEY — the Gu-Kelly-Xiu ML playbook ported to China; liquidity is the top predictor (unlike US)"
ML asset pricing (China),Factor Investing with a Deep Multi-Factor Model,-,2022,arXiv 2210.12462,China,Yes,https://arxiv.org/abs/2210.12462,"Deep multi-factor model with industry/market neutralization on China"
ML asset pricing (China),Nonlinear asset pricing in Chinese stock market: a deep learning approach,-,2023,Pacific-Basin Finance / ScienceDirect,China,No,https://www.sciencedirect.com/science/article/pii/S1057521923001436,"Nonlinear ML beats linear FF5 out-of-sample"
ML asset pricing (China),Six-factor asset pricing and portfolio investment via deep learning (China),-,2022,ScienceDirect,China,No,https://www.sciencedirect.com/science/article/abs/pii/S0927538X22001810,"LSTM on six factors for next-day A-share moves"
ML asset pricing (China),Latent factor model in asset pricing: a deep learning approach (China),-,2025,Finance Research Letters,China,No,https://www.sciencedirect.com/science/article/pii/S1544612325017738,"Latent-factor autoencoder pricing, China"
