contributor,name_cn,firm,confidence,topic,paper_title,coauthors,venue,year,downloaded_file,notes
Yu Yuan,袁宇,鸣石 Mingshi,HIGH,Asset pricing (RELEVANT),The Short of It: Investor Sentiment and Anomalies,"Stambaugh, Yu, Yuan",Journal of Financial Economics,2012,yuyuan_mingshi__nber_w16898_short_of_it_sentiment_anomalies.pdf,"NBER w16898 open PDF"
Yu Yuan,袁宇,鸣石 Mingshi,HIGH,Asset pricing (RELEVANT),Arbitrage Asymmetry and the Idiosyncratic Volatility Puzzle,"Stambaugh, Yu, Yuan",Journal of Finance,2015,yuyuan_mingshi__nber_w18560_arbitrage_asymmetry_ivol.pdf,"NBER w18560 open PDF"
Yu Yuan,袁宇,鸣石 Mingshi,HIGH,Asset pricing (RELEVANT),Mispricing Factors,"Stambaugh, Yuan",Review of Financial Studies,2017,yuyuan_mingshi__wharton_stambaugh_yuan_mispricing_factors.pdf,"Wharton Rodney White open PDF"
Yu Yuan,袁宇,鸣石 Mingshi,HIGH,Asset pricing (RELEVANT),The Long of It: Odds That Investor Sentiment Spuriously Predicts Anomaly Returns,"Stambaugh, Yu, Yuan",Journal of Financial Economics,2014,,"NOT downloaded — NBER w19835 / JFE; grab if wanted"
Chenying Zhang,张陈樱,白鹭 Egret,HIGH,China finance,China's Financial System: Opportunities and Challenges,"Allen, Qian, Zhang, Zhao",NBER working paper,2011,chenyingzhang_egret__nber_w17828_chinas_financial_system.pdf,"NBER w17828 open PDF"
Chenying Zhang,张陈樱,白鹭 Egret,HIGH,China finance,Sterilization in China: Effectiveness and Cost,"Zhang (Wharton)",Wharton working paper,2010,,"NOT downloaded — locate open copy if wanted"
Chenying Zhang,张陈樱,白鹭 Egret,MED,China finance,An Alternative View on Law Institutions Finance and Growth,"Allen, Qian, Zhang",working paper,-,,"NOT downloaded"
Peng Hu,胡鹏,洛书 Loshu,HIGH,Quant math / finance,On the Robustness of the Snell Envelope,"Del Moral, Hu, Oudjane, Remillard",SIAM J. Financial Mathematics,2011,penghu_loshu__inria_robustness_snell_envelope.pdf,"INRIA open PDF (American-option pricing)"
Peng Hu,胡鹏,洛书 Loshu,HIGH,Quant math / finance,Snell envelope with path dependent multiplicative optimality criteria,"Del Moral, Hu, Oudjane",arXiv 1008.3034 / INRIA RR-7360,2010,penghu_loshu__arxiv_1008.3034_snell_envelope_multiplicative.pdf,"arXiv open PDF"
Peng Hu,胡鹏,洛书 Loshu,HIGH,Quant math / ML,On the concentration properties of interacting particle processes,"Del Moral, Hu, Wu",Foundations and Trends in Machine Learning,2012,penghu_loshu__arxiv_1107.1948_concentration_interacting_particle.pdf,"arXiv 1107.1948 open PDF"
Peng Hu,胡鹏,洛书 Loshu,HIGH,Quant math / finance,An Introduction to Particle Methods with Financial Applications,"Carmona, Del Moral, Hu, Oudjane",Springer (Numerical Methods in Finance),2012,,"NOT downloaded — Springer book chapter, paywalled"
Peng Hu,胡鹏,洛书 Loshu,HIGH,Quant math / finance,Snell Envelope with Small Probability Criteria,"Del Moral, Hu, Oudjane",Applied Mathematics & Optimization,2012,,"NOT downloaded — paywalled; arXiv may exist"
Peng Hu,胡鹏,洛书 Loshu,HIGH,Quant math / finance,Methodes particulaires et applications en finance (PhD thesis),Hu,Universite Bordeaux 1,2012,,"NOT downloaded — thesis on theses.fr / HAL if wanted"
Panying Chen,陈磐颖,思勰 Sixie,HIGH,Physics (OFF-TOPIC),Effective Angular Momentum Operators in NRQED and Matching at One-Loop Order (+ related),"w/ Xiangdong Ji et al.",nuclear/particle physics journals,-,,"Attribution solid (PKU + U.Maryland physics) but NOT finance; listed for completeness, not downloaded"
Cheng Qian,钱成,宽投 Kuantou,LOW/TENTATIVE,Statistics,Some Advances on Modeling High-Dimensional Data with Complex Structures (PhD thesis),"Qian (advisor Ji Zhu)",University of Michigan,-,,"TENTATIVE — Michigan stats PhD matches profile but name collides heavily and no finance/CTA papers confirmed; do not cite without verifying identity"
Wang Hongyong,王鸿勇,启林 Qilin,UNRESOLVED,Physics,(claimed 3x Physical Review Letters + 20 SCI papers),-,-,-,,"UNRESOLVED — name collides with multiple physicists; could not attribute specific papers with confidence"
