strategy,window,n_days,max_vol_diff_pct,mean_vol_diff_pct,max_dd_diff_pp,mean_dd_diff_pp
JT_MOM,quant_meltdown_2007,44,0.035,0.0151,0.0871,0.0347
JT_MOM,gfc_lehman_2008,74,0.0319,0.0112,0.3657,0.3158
JT_MOM,momentum_crash_2009,72,0.0432,0.0153,0.4089,0.3673
JT_MOM,downgrade_2011,64,0.0551,0.0198,1.5853,1.3916
JT_MOM,calm_2004_2006,755,0.0979,0.0272,0.2998,0.0527
JT_MOM,calm_2013_2014,504,0.0796,0.0209,2.0181,0.0463
JT_MOM,flash_crash_2010,64,0.0306,0.0157,1.0207,0.9302
JT_MOM,china_deval_2015,67,0.0381,0.0137,0.1089,0.0151
JT_MOM,volmageddon_2018,62,0.0451,0.0216,0.0722,0.0326
JT_MOM,covid_2020,82,0.0276,0.0115,0.0459,0.0206
JT_MOM,calm_2012,250,0.0616,0.0172,2.0566,1.7942
JT_MOM,calm_2017,251,0.0731,0.0171,0.1957,0.0208
AL_PCA,quant_meltdown_2007,44,0.0567,0.0221,1.5082,1.1626
AL_PCA,gfc_lehman_2008,74,0.0381,0.0138,1.4573,1.2344
AL_PCA,momentum_crash_2009,72,0.0357,0.0138,2.7126,2.0931
AL_PCA,downgrade_2011,64,0.0242,0.0095,0.2546,0.1062
AL_PCA,calm_2004_2006,755,0.0564,0.0183,1.3875,0.3144
AL_PCA,calm_2013_2014,504,0.0262,0.0091,0.3987,0.082
AL_PCA,flash_crash_2010,64,0.0133,0.0043,0.344,0.1274
AL_PCA,china_deval_2015,67,0.0202,0.007,0.7288,0.5085
AL_PCA,volmageddon_2018,62,0.0228,0.0061,0.3815,0.1734
AL_PCA,covid_2020,82,0.0126,0.0025,0.1859,0.0893
AL_PCA,calm_2012,250,0.0155,0.0056,0.5552,0.1349
AL_PCA,calm_2017,251,0.0242,0.0081,0.2728,0.0687
