window,kind,n_articles,n_risk_articles,articles_per_day,adequate
quant_meltdown_2007,event,68617,1683,1524.8,YES
gfc_lehman_2008,event,283333,8708,3728.1,YES
momentum_crash_2009,event,286482,5318,3819.8,YES
downgrade_2011,event,414543,8377,6377.6,YES
calm_2004_2006,calm,91065,1,116.6,SPARSE
calm_2013_2014,calm,2516002,41350,4829.2,YES
flash_crash_2010,event,260264,4206,3943.4,YES
china_deval_2015,event,381632,7752,5612.2,YES
volmageddon_2018,event,165481,4917,2545.9,YES
covid_2020,event,211309,9678,2486.0,YES
calm_2012,calm,1604205,26483,6170.0,YES
calm_2017,calm,513793,14435,1983.8,YES
